Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
07/01/1980_21:42:04        165.70125018          9.95327167
07/01/1980_22:42:04        166.70125018          9.89188316
07/01/1980_23:42:04        167.70125018          9.83253966
08/01/1980_00:42:04        168.70125018          9.77522221
08/01/1980_01:42:04        169.70125018          9.71983050
08/01/1980_02:42:04        170.70125018          9.66627821
08/01/1980_03:42:04        171.70125018          9.61449079
08/01/1980_04:42:04        172.70125018          9.56438801
08/01/1980_05:42:04        173.70125018          9.51588883
08/01/1980_06:42:04        174.70125018          9.46891065
08/01/1980_07:42:04        175.70125018          9.42337402
08/01/1980_08:42:04        176.70125018          9.37920545
08/01/1980_09:42:04        177.70125018          9.33633934
08/01/1980_10:42:04        178.70125018          9.29471602
08/01/1980_11:42:04        179.70125018          9.25428610
08/01/1980_12:42:04        180.70125018          9.21500341
08/01/1980_13:42:04        181.70125018          9.17682451
08/01/1980_14:42:04        182.70125018          9.13971346
08/01/1980_15:42:04        183.70125018          9.10363928
08/01/1980_16:42:04        184.70125018          9.06857519
08/01/1980_17:42:04        185.70125018          9.03449874
08/01/1980_18:42:04        186.70125018          9.00138625
08/01/1980_19:42:04        187.70125018          8.96920962
08/01/1980_20:42:04        188.70125018          8.93793631
08/01/1980_21:42:04        189.70125018          8.90752761
08/01/1980_22:42:04        190.70125018          8.87794429
08/01/1980_23:42:04        191.70125018          8.84914274
09/01/1980_00:42:04        192.70125018          8.82110674
09/01/1980_01:42:04        193.70125018          8.79378201
09/01/1980_02:42:04        194.70125018          8.76711726
09/01/1980_03:42:04        195.70125018          8.74107455
09/01/1980_04:42:04        196.70125018          8.71561688
09/01/1980_05:42:04        197.70125018          8.69070774
09/01/1980_06:42:04        198.70125018          8.66631529
09/01/1980_07:42:04        199.70125018          8.64241610
09/01/1980_08:42:04        200.70125018          8.61897654
09/01/1980_09:42:04        201.70125018          8.59596994
09/01/1980_10:42:04        202.70125018          8.57338043
09/01/1980_11:42:04        203.70125018          8.55119621
09/01/1980_12:42:04        204.70125018          8.52939835
09/01/1980_13:42:04        205.70125018          8.50798133
09/01/1980_14:42:04        206.70125018          8.48693829
09/01/1980_15:42:04        207.70125018          8.46626415
09/01/1980_16:42:04        208.70125018          8.44595352
09/01/1980_17:42:04        209.70125018          8.42599960
09/01/1980_18:42:04        210.70125018          8.40639463
09/01/1980_19:42:04        211.70125018          8.38713102
09/01/1980_20:42:04        212.70125018          8.36819954
09/01/1980_21:42:04        213.70125018          8.34959059
09/01/1980_22:42:04        214.70125018          8.33129542
09/01/1980_23:42:04        215.70125018          8.31330681
10/01/1980_00:42:04        216.70125018          8.29558483
10/01/1980_01:42:04        217.70125018          8.27812973
10/01/1980_02:42:04        218.70125018          8.26094031
10/01/1980_03:42:04        219.70125018          8.24400826
10/01/1980_04:42:04        220.70125018          8.22732505
10/01/1980_05:42:04        221.70125018          8.21088519
10/01/1980_06:42:04        222.70125018          8.19468290
10/01/1980_07:42:04        223.70125018          8.17871212
10/01/1980_08:42:04        224.70125018          8.16296779
10/01/1980_09:42:04        225.70125018          8.14744355
10/01/1980_10:42:04        226.70125018          8.13213454
10/01/1980_11:42:04        227.70125018          8.11703451
10/01/1980_12:42:04        228.70125018          8.10213849
10/01/1980_13:42:04        229.70125018          8.08744121
10/01/1980_14:42:04        230.70125018          8.07293607
10/01/1980_15:42:04        231.70125018          8.05861507
10/01/1980_16:42:04        232.70125018          8.04447176
10/01/1980_17:42:04        233.70125018          8.03049989
10/01/1980_18:42:04        234.70125018          8.01669148
10/01/1980_19:42:04        235.70125018          8.00304439
10/01/1980_20:42:04        236.70125018          7.98954864
10/01/1980_21:42:04        237.70125018          7.97619721
10/01/1980_22:42:04        238.70125018          7.96299716
10/01/1980_23:42:04        239.70125018          7.94995273
11/01/1980_00:42:04        240.70125018          7.93726525
11/01/1980_01:42:04        241.70125018          7.92480048
11/01/1980_02:42:04        242.70125018          7.91248930
11/01/1980_03:42:04        243.70125018          7.90035839
11/01/1980_04:42:04        244.70125018          7.88840590
11/01/1980_05:42:04        245.70125018          7.87663138
11/01/1980_06:42:04        246.70125018          7.86502799
11/01/1980_07:42:04        247.70125018          7.85358283
11/01/1980_08:42:04        248.70125018          7.84228510
11/01/1980_09:42:04        249.70125018          7.83112235
11/01/1980_10:42:04        250.70125018          7.82008787
11/01/1980_11:42:04        251.70125018          7.80917733
11/01/1980_12:42:04        252.70125018          7.79838657
11/01/1980_13:42:04        253.70125018          7.78771078
11/01/1980_14:42:04        254.70125018          7.77714647
11/01/1980_15:42:04        255.70125018          7.76669147
11/01/1980_16:42:04        256.70125018          7.75634453
11/01/1980_17:42:04        257.70125018          7.74610246
11/01/1980_18:42:04        258.70125018          7.73596339
11/01/1980_19:42:04        259.70125018          7.72592515
11/01/1980_20:42:04        260.70125018          7.71598505
11/01/1980_21:42:04        261.70125018          7.70614003
11/01/1980_22:42:04        262.70125018          7.69638587
11/01/1980_23:42:04        263.70125018          7.68671904
12/01/1980_00:42:04        264.70125018          7.67692189
12/01/1980_01:42:04        265.70125018          7.66712984
12/01/1980_02:42:04        266.70125018          7.65741027
12/01/1980_03:42:04        267.70125018          7.64773330
12/01/1980_04:42:04        268.70125018          7.63808566
12/01/1980_05:42:04        269.70125018          7.62846419
12/01/1980_06:42:04        270.70125018          7.61887414
12/01/1980_07:42:04        271.70125018          7.60932018
12/01/1980_08:42:04        272.70125018          7.59980756
12/01/1980_09:42:04        273.70125018          7.59034016
12/01/1980_10:42:04        274.70125018          7.58090800
12/01/1980_11:42:04        275.70125018          7.57151782
12/01/1980_12:42:04        276.70125018          7.56217431
12/01/1980_13:42:04        277.70125018          7.55287903
12/01/1980_14:42:04        278.70125018          7.54362678
12/01/1980_15:42:04        279.70125018          7.53442049
12/01/1980_16:42:04        280.70125018          7.52526017
12/01/1980_17:42:04        281.70125018          7.51614704
12/01/1980_18:42:04        282.70125018          7.50707958
12/01/1980_19:42:04        283.70125018          7.49805542
12/01/1980_20:42:04        284.70125018          7.48907538
12/01/1980_21:42:04        285.70125018          7.48013656
12/01/1980_22:42:04        286.70125018          7.47123921
12/01/1980_23:42:04        287.70125018          7.46238196
13/01/1980_00:42:04        288.70125018          7.45389104
13/01/1980_01:42:04        289.70125018          7.44556738
13/01/1980_02:42:04        290.70125018          7.43730474
13/01/1980_03:42:04        291.70125018          7.42913793
13/01/1980_04:42:04        292.70125018          7.42108164
13/01/1980_05:42:04        293.70125018          7.41313817
13/01/1980_06:42:04        294.70125018          7.40530514
13/01/1980_07:42:04        295.70125018          7.39758202
13/01/1980_08:42:04        296.70125018          7.38996938
13/01/1980_09:42:04        297.70125018          7.38246314
13/01/1980_10:42:04        298.70125018          7.37507478
13/01/1980_11:42:04        299.70125018          7.36781557
13/01/1980_12:42:04        300.70125018          7.36069268
13/01/1980_13:42:04        301.70125018          7.35371053
13/01/1980_14:42:04        302.70125018          7.34687182
13/01/1980_15:42:04        303.70125018          7.34017728
13/01/1980_16:42:04        304.70125018          7.33363608
13/01/1980_17:42:04        305.70125018          7.32725517
13/01/1980_18:42:04        306.70125018          7.32104320
13/01/1980_19:42:04        307.70125018          7.31500911
13/01/1980_20:42:04        308.70125018          7.30916048
